,names
0,claudia wagner
1,jonas l juul
2,jon kleinberg
3,chloe ahn
4,xinyi wang
5,giuseppe russo
6,luca verginer
7,manoel horta ribeiro
8,giona casiraghi
9,almog simchon
10,adam sutton
11,matthew edwards
12,stephan lewandowsky
13,arianna pera
14,manuel vimercati
15,matteo palmonari
16,mohammed alsobay
17,abdullah almaatouq
18,david g. rand
19,duncan j. watts
20,sara venturini
21,satyaki sikdar
22,francesco rinaldi
23,francesco tudisco
24,santo fortunato
25,isabella loaiza
26,takahiro yabe
27,alex pentland
28,taha yasseri
29,silvia de sojo caso
30,mia ann jørgensen
31,sune lehmann
32,laura alessandretti
33,emil bakkensen johansen
34,mathias wullum nielsen
35,rubén rodríguez casañ
36,antonio ariño villarroya
37,sunny rai
38,ashley francisco
39,salvatore giorgi
40,brenda curtis
41,lyle ungar
42,sharath chandra guntuku
43,allison koenecke
44,eric giannella
45,robb willer
46,sharad goel
47,ziv epstein
48,hause lin
49,levin brinkmann
50,bramantyo supriyatno
51,iyad rahwan
52,sandro ferreira sousa
53,vincenzo nicosia
54,david garcia
55,marilena hohmann
56,michele coscia
57,tiancheng hu
58,yara kyrychenko
59,sander van der linden
60,jon roozenbeek
61,nikolaos nakis
62,abdulkadir celikkanat
63,louis boucherie
64,morten mørup
65,corrado monti
66,jacopo d'ignazi
67,michele starnini
68,gianmarco de francisci morales
69,homa hosseinmardi
70,sam wolken
71,david rothschild
72,duncan watts
73,li zhang
74,isabelle lorge
75,janet b. pierrehumbert
76,xiaowen dong
77,milena tsvetkova
78,melanie oyarzun
79,carlos rodriguez-sickert
80,cristian e candia
81,bernardo garcia bulle bueno
82,morgan ryan frank
83,esteban moro
84,dingeman jan van der laan
85,edwin de jonge
86,marjolijn das
87,veniamin veselovsky
88,robert west
89,mark e whiting
90,duncan j watts
91,marc sadurní parera
92,josep perelló
93,miquel montero
94,elisa omodei
95,jamell dacon
96,jiliang tang
97,minsu park
98,chao yu
99,michael macy
100,kat albrecht
101,nicola fanton
102,agnieszka falenska
103,michael roth
104,zeyneb nahide kaya
105,alexandra segerberg
106,matteo magnani
107,sandra gonzalez-bailón
108,damian trilling
109,roeland dubèl
110,rupert kiddle
111,anne c. kroon
112,zilin lin
113,mónika simon
114,susan vermeer
115,kasper welbers
116,mark boukes
117,sanjay kairam
118,sukankana chakraborty
119,leonardo castro-gonzalez
120,helen margetts
121,jonathan bright
122,helena sophia rauxloh
123,lisa merten
124,heidi schulze
125,judith moeller
126,isabel lerch
127,dylan thurgood
128,sebastian stier
129,ardon z. shorr
130,dafna yavetz
131,leo ferres
132,simon martin breum
133,bojan kostic
134,michael szell
135,zhuangyuan fan
136,becky p.y. loo
137,ting lian
138,feiyang zhang
139,massimiliano luca
140,bruno lepri
141,antonio bucchiarone
142,annapaola marconi
143,simone centellegher
144,laura maria alessandretti
145,surendra hazarie
146,hugo barbosa
147,adam frank
148,ronaldo menezes
149,gourab ghoshal
150,henrik wolf
151,ane rahbek vierø
152,clara vandeweerdt
153,nicole nisbett
154,viktoria spaiser
155,kelton r minor
156,nick obradovich
157,hannah-marie büttner
158,hendrik meyer
159,patrick zerrer
160,max falkenberg
161,andrea baronchelli
162,giorgio tripodi
163,francesco lamperti
164,andrea mina
165,fabrizio lillo
166,roberto mavilia
167,francesca chiaromonte
168,kristoffer lind glavind
169,aaron j. schwartz
170,christopher danforth
171,andreas bjerre-nielsen
172,andreia sofia teixeira
173,michele tizzani
