,id,publication_year,cited_by_count,author_ids
0,https://openalex.org/W2127048411,2010,7467,['https://openalex.org/A5053938061']
1,https://openalex.org/W2058105398,2009,3325,"['https://openalex.org/A5031236554', 'https://openalex.org/A5053938061', 'https://openalex.org/A5070657345']"
2,https://openalex.org/W3142588439,2010,2176,"['https://openalex.org/A5017669758', 'https://openalex.org/A5055710645']"
3,https://openalex.org/W2116926372,2012,1762,"['https://openalex.org/A5017914184', 'https://openalex.org/A5043657584', 'https://openalex.org/A5047153758', 'https://openalex.org/A5034259217', 'https://openalex.org/A5085938112']"
4,https://openalex.org/W2147453867,2006,1719,"['https://openalex.org/A5058815871', 'https://openalex.org/A5040821463', 'https://openalex.org/A5000679279']"
5,https://openalex.org/W2150375325,2007,1596,"['https://openalex.org/A5000679279', 'https://openalex.org/A5040821463']"
6,https://openalex.org/W2118608338,2009,1589,"['https://openalex.org/A5002092845', 'https://openalex.org/A5053938061', 'https://openalex.org/A5044033087']"
7,https://openalex.org/W2432978112,2006,1567,"['https://openalex.org/A5081744093', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645', 'https://openalex.org/A5019027303']"
8,https://openalex.org/W2049607688,2006,1514,"['https://openalex.org/A5066696247', 'https://openalex.org/A5000679279']"
9,https://openalex.org/W1967579779,2011,1327,"['https://openalex.org/A5006700143', 'https://openalex.org/A5081429241', 'https://openalex.org/A5078651528', 'https://openalex.org/A5000679279']"
10,https://openalex.org/W2127492100,2009,1299,"['https://openalex.org/A5091272738', 'https://openalex.org/A5081744093', 'https://openalex.org/A5055710645']"
11,https://openalex.org/W2073415627,2010,1191,"['https://openalex.org/A5091272738', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
12,https://openalex.org/W2096974619,2014,1104,"['https://openalex.org/A5082742221', 'https://openalex.org/A5040129440', 'https://openalex.org/A5002798141', 'https://openalex.org/A5031463408', 'https://openalex.org/A5041923525', 'https://openalex.org/A5020189261', 'https://openalex.org/A5063124604', 'https://openalex.org/A5056499434']"
13,https://openalex.org/W2142517301,2010,998,"['https://openalex.org/A5091272738', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
14,https://openalex.org/W2097050150,2004,969,['https://openalex.org/A5000679279']
15,https://openalex.org/W1521478692,2003,954,['https://openalex.org/A5055710645']
16,https://openalex.org/W2911795125,2013,908,"['https://openalex.org/A5056499434', 'https://openalex.org/A5081956768']"
17,https://openalex.org/W3013473577,2020,894,"['https://openalex.org/A5020533147', 'https://openalex.org/A5061020925', 'https://openalex.org/A5053847761', 'https://openalex.org/A5040147624', 'https://openalex.org/A5056499434']"
18,https://openalex.org/W2026302857,2002,866,['https://openalex.org/A5055710645']
19,https://openalex.org/W2019789576,2000,821,"['https://openalex.org/A5036983906', 'https://openalex.org/A5000679279']"
20,https://openalex.org/W2053634345,2003,778,"['https://openalex.org/A5040821463', 'https://openalex.org/A5001893057', 'https://openalex.org/A5000679279']"
21,https://openalex.org/W2760944227,2017,752,"['https://openalex.org/A5017914184', 'https://openalex.org/A5043657584', 'https://openalex.org/A5085938112']"
22,https://openalex.org/W2112896229,2011,697,"['https://openalex.org/A5085750604', 'https://openalex.org/A5081429241', 'https://openalex.org/A5078651528', 'https://openalex.org/A5000679279']"
23,https://openalex.org/W2020423193,1998,688,"['https://openalex.org/A5053094139', 'https://openalex.org/A5055710645', 'https://openalex.org/A5078491738']"
24,https://openalex.org/W2157085604,2009,685,"['https://openalex.org/A5066696247', 'https://openalex.org/A5000679279']"
25,https://openalex.org/W1654194294,2005,680,"['https://openalex.org/A5064274071', 'https://openalex.org/A5055710645', 'https://openalex.org/A5025175846']"
26,https://openalex.org/W2156020699,2012,594,"['https://openalex.org/A5072263832', 'https://openalex.org/A5081744093', 'https://openalex.org/A5072506448', 'https://openalex.org/A5055710645']"
27,https://openalex.org/W2121067707,2009,582,"['https://openalex.org/A5056499434', 'https://openalex.org/A5021314811', 'https://openalex.org/A5027209780', 'https://openalex.org/A5064485567', 'https://openalex.org/A5081956768']"
28,https://openalex.org/W2169800142,2012,566,['https://openalex.org/A5056499434']
29,https://openalex.org/W2137724361,2011,539,"['https://openalex.org/A5056499434', 'https://openalex.org/A5027903946', 'https://openalex.org/A5010495671']"
30,https://openalex.org/W3122786119,2014,532,"['https://openalex.org/A5056499434', 'https://openalex.org/A5040287174', 'https://openalex.org/A5023764588', 'https://openalex.org/A5049664275', 'https://openalex.org/A5031845310', 'https://openalex.org/A5081956768', 'https://openalex.org/A5062636496']"
31,https://openalex.org/W2147634746,2010,525,"['https://openalex.org/A5027036879', 'https://openalex.org/A5081429241', 'https://openalex.org/A5020965594', 'https://openalex.org/A5071634649', 'https://openalex.org/A5000679279']"
32,https://openalex.org/W2128891547,2008,495,"['https://openalex.org/A5003268415', 'https://openalex.org/A5007755189', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645', 'https://openalex.org/A5051257652']"
33,https://openalex.org/W2610353045,2017,462,"['https://openalex.org/A5085938112', 'https://openalex.org/A5017914184', 'https://openalex.org/A5043657584']"
34,https://openalex.org/W2067919779,2004,452,"['https://openalex.org/A5040821463', 'https://openalex.org/A5000679279']"
35,https://openalex.org/W2095094403,2008,443,"['https://openalex.org/A5027826222', 'https://openalex.org/A5061449196', 'https://openalex.org/A5055710645', 'https://openalex.org/A5025175846', 'https://openalex.org/A5025992076', 'https://openalex.org/A5022886322']"
36,https://openalex.org/W2178843456,2016,435,"['https://openalex.org/A5027036879', 'https://openalex.org/A5048789742', 'https://openalex.org/A5081429241', 'https://openalex.org/A5000679279']"
37,https://openalex.org/W2148186201,2013,430,"['https://openalex.org/A5017914184', 'https://openalex.org/A5031955814', 'https://openalex.org/A5036140366']"
38,https://openalex.org/W2041411104,2009,428,"['https://openalex.org/A5078651528', 'https://openalex.org/A5000679279']"
39,https://openalex.org/W1969035214,1989,418,"['https://openalex.org/A5017914184', 'https://openalex.org/A5055195173']"
40,https://openalex.org/W1995629273,2010,418,"['https://openalex.org/A5003268415', 'https://openalex.org/A5081744093', 'https://openalex.org/A5007755189', 'https://openalex.org/A5051257652', 'https://openalex.org/A5061046334', 'https://openalex.org/A5055710645']"
41,https://openalex.org/W2913081045,2019,411,"['https://openalex.org/A5020533147', 'https://openalex.org/A5056499434']"
42,https://openalex.org/W2203167467,2015,380,"['https://openalex.org/A5055710645', 'https://openalex.org/A5085753634', 'https://openalex.org/A5034703281', 'https://openalex.org/A5017000481']"
43,https://openalex.org/W2061130579,2002,351,"['https://openalex.org/A5055710645', 'https://openalex.org/A5025175846']"
44,https://openalex.org/W3124726575,2021,346,"['https://openalex.org/A5020533147', 'https://openalex.org/A5076651767', 'https://openalex.org/A5052536455', 'https://openalex.org/A5021501103', 'https://openalex.org/A5080265907', 'https://openalex.org/A5056499434']"
45,https://openalex.org/W1986252988,2005,341,"['https://openalex.org/A5040821463', 'https://openalex.org/A5000679279']"
46,https://openalex.org/W3124682720,2014,331,"['https://openalex.org/A5040287174', 'https://openalex.org/A5081956768', 'https://openalex.org/A5056499434']"
