,id,display_name,works_api_url,h_index,works_count,country_code
0,https://openalex.org/A5029294803,Ashley Muddiman,https://api.openalex.org/works?filter=author.id:A5029294803,15,47,US
1,https://openalex.org/A5044060426,Caroline C. Murray,https://api.openalex.org/works?filter=author.id:A5044060426,2,2,US
2,https://openalex.org/A5090619385,Yujin Kim,https://api.openalex.org/works?filter=author.id:A5090619385,49,1121,KR
3,https://openalex.org/A5007178020,Yoshi Meke Bird,https://api.openalex.org/works?filter=author.id:A5007178020,1,2,US
4,https://openalex.org/A5018216693,Sarah Fagundes Grobe,https://api.openalex.org/works?filter=author.id:A5018216693,2,12,BR
5,https://openalex.org/A5079213654,Dilrukshi Gamage,https://api.openalex.org/works?filter=author.id:A5079213654,10,49,JP
6,https://openalex.org/A5046036512,Kazutoshi Sasahara,https://api.openalex.org/works?filter=author.id:A5046036512,25,174,JP
7,https://openalex.org/A5043098893,Enboa Wu,https://api.openalex.org/works?filter=author.id:A5043098893,23,115,US
8,https://openalex.org/A5088304530,Luca Luceri,https://api.openalex.org/works?filter=author.id:A5088304530,9,68,US
9,https://openalex.org/A5013385420,Francesco Pierri,https://api.openalex.org/works?filter=author.id:A5013385420,19,117,IT
10,https://openalex.org/A5003185083,Andrew Beers,https://api.openalex.org/works?filter=author.id:A5003185083,17,75,US
11,https://openalex.org/A5045033500,Antonio Desiderio,https://api.openalex.org/works?filter=author.id:A5045033500,2,10,IT
12,https://openalex.org/A5023767790,Anna Laura Mancini,https://api.openalex.org/works?filter=author.id:A5023767790,5,48,IT
13,https://openalex.org/A5048344653,Giulio Cimini,https://api.openalex.org/works?filter=author.id:A5048344653,20,114,IT
14,https://openalex.org/A5080193434,Pantelis P. Analytis,https://api.openalex.org/works?filter=author.id:A5080193434,5,45,DK
15,https://openalex.org/A5087795032,Sadamori Kojaku,https://api.openalex.org/works?filter=author.id:A5087795032,9,24,US
16,https://openalex.org/A5086671142,Robert Mahari,https://api.openalex.org/works?filter=author.id:A5086671142,2,8,US
17,https://openalex.org/A5080550894,Sandro Claudio Lera,https://api.openalex.org/works?filter=author.id:A5080550894,6,47,CN
18,https://openalex.org/A5059236838,Yong‐Yeol Ahn,https://api.openalex.org/works?filter=author.id:A5059236838,33,170,US
19,https://openalex.org/A5028701322,Maciej J. Dańko,https://api.openalex.org/works?filter=author.id:A5028701322,11,39,DE
20,https://openalex.org/A5055543806,Xin Zhao,https://api.openalex.org/works?filter=author.id:A5055543806,43,640,CN
21,https://openalex.org/A5015514276,Arpan Dutta,https://api.openalex.org/works?filter=author.id:A5015514276,9,49,US
22,https://openalex.org/A5042522236,Chico Q. Camargo,https://api.openalex.org/works?filter=author.id:A5042522236,7,30,GB
23,https://openalex.org/A5002805005,Susan Banducci,https://api.openalex.org/works?filter=author.id:A5002805005,24,124,GB
24,https://openalex.org/A5044149153,Tetsuji Miura,https://api.openalex.org/works?filter=author.id:A5044149153,62,756,JP
25,https://openalex.org/A5023048207,Yongheng Yang,https://api.openalex.org/works?filter=author.id:A5023048207,53,831,CN
26,https://openalex.org/A5091653336,Paulina Pankowska,https://api.openalex.org/works?filter=author.id:A5091653336,4,26,NL
27,https://openalex.org/A5042391987,Tom Emery,https://api.openalex.org/works?filter=author.id:A5042391987,9,77,NL
28,https://openalex.org/A5015319043,Adriënne M. Mendrik,https://api.openalex.org/works?filter=author.id:A5015319043,12,38,NL
29,https://openalex.org/A5011306454,Javier Ureña-Carrión,https://api.openalex.org/works?filter=author.id:A5011306454,2,8,FI
30,https://openalex.org/A5080298742,Christian Vestergaard,https://api.openalex.org/works?filter=author.id:A5080298742,15,84,DK
31,https://openalex.org/A5079596102,Márton Karsai,https://api.openalex.org/works?filter=author.id:A5079596102,28,194,AT
32,https://openalex.org/A5041066777,Taro Takaguchi,https://api.openalex.org/works?filter=author.id:A5041066777,14,44,JP
33,https://openalex.org/A5015478086,Eugenio Valdano,https://api.openalex.org/works?filter=author.id:A5015478086,16,58,FR
34,https://openalex.org/A5089195241,Radosław Michalski,https://api.openalex.org/works?filter=author.id:A5089195241,19,67,PL
35,https://openalex.org/A5012429628,Damian Serwata,https://api.openalex.org/works?filter=author.id:A5012429628,1,1,PL
36,https://openalex.org/A5001887300,Mateusz Nurek,https://api.openalex.org/works?filter=author.id:A5001887300,1,4,PL
37,https://openalex.org/A5082225935,Boleslaw K. Szymanski,https://api.openalex.org/works?filter=author.id:A5082225935,38,168,US
38,https://openalex.org/A5049612210,Przemysław Kazienko,https://api.openalex.org/works?filter=author.id:A5049612210,27,292,PL
